"content_id","id","parent_category_name","category_name","uuid","content_title","content","language_type","enabled","status","department","iot_product_category","brands","is_smart_product","content_code","pub_plat","pub_language","pub_area"
443,1865,,Product FAQ,e59a3611dd3e4fd4abdca47c2fdac3eb,Problemas ao encaixar a bandeja dentro do aparelho,<p>CAUSA&nbsp;PROVÁVEL</p><p>1-Há&nbsp;excesso&nbsp;de&nbsp;ingredientes&nbsp;no&nbsp;cesto</p><p>2-O&nbsp;cesto&nbsp;não&nbsp;está&nbsp;colocado&nbsp;corretamente&nbsp;na&nbsp;bandeja</p><p>VERIFICAÇÃO/SOLUÇÃO</p><p>1-Não&nbsp;encha&nbsp;o&nbsp;cesto&nbsp;de&nbsp;forma&nbsp;que&nbsp;os&nbsp;ingredientes&nbsp;entrem&nbsp;em&nbsp;contato&nbsp;com&nbsp;o&nbsp;elemento&nbsp;de&nbsp;aquecimento.&nbsp;</p><p>2-Empurre&nbsp;o&nbsp;cesto&nbsp;para&nbsp;baixo&nbsp;na&nbsp;bandeja&nbsp;até&nbsp;ouvir&nbsp;um&nbsp;“clique”.</p>,pt,1,2,SDA,"33",Midea,1,,html;mjapp,pt,BR
444,1866,,Product FAQ,f6fb0706aded4b039693608009a2cf6e,Batatas frescas são fritas de forma irregular na fritadeira,<p>CAUSA&nbsp;PROVÁVEL</p><p>1-Tipo&nbsp;incorreto&nbsp;de&nbsp;batata</p><p>2-Os&nbsp;palitos&nbsp;de&nbsp;batata&nbsp;não&nbsp;foram&nbsp;corretamente&nbsp;lavados</p><p>VERIFICAÇÃO/SOLUÇÃO</p><p>1-Use&nbsp;batatas&nbsp;frescas&nbsp;e&nbsp;certifi&nbsp;quese&nbsp;de&nbsp;que&nbsp;permaneçam&nbsp;firmes&nbsp;durante&nbsp;a&nbsp;fritura.</p><p>2-Lave&nbsp;os&nbsp;palitos&nbsp;de&nbsp;batata&nbsp;adequadamente&nbsp;para&nbsp;remover&nbsp;o&nbsp;amido&nbsp;da&nbsp;parte&nbsp;externa.</p>,pt,1,2,SDA,"33",Midea,1,,html;mjapp,pt,BR
445,1867,,Product FAQ,af45bf0c9a12469e945e615fd1986ed1,Emissão de fumaça branca do aparelho,"<p>CAUSA&nbsp;PROVÁVEL</p><p>1-Ingredientes&nbsp;muito&nbsp;gordurosos&nbsp;estão&nbsp;sendo&nbsp;preparados</p><p>2-A&nbsp;bandeja&nbsp;ainda&nbsp;contém&nbsp;resíduos&nbsp;de&nbsp;gordura&nbsp;de&nbsp;seu&nbsp;uso&nbsp;anterior</p><p>VERIFICAÇÃO/SOLUÇÃO</p><p>1-Ao&nbsp;fritar&nbsp;ingredientes&nbsp;gordurosos&nbsp;na&nbsp;fritadeira,&nbsp;uma&nbsp;grande&nbsp;quantidade&nbsp;de&nbsp;óleo&nbsp;é&nbsp;liberada&nbsp;na&nbsp;bandeja.&nbsp;O&nbsp;óleo&nbsp;produz&nbsp;uma&nbsp;fumaça&nbsp;branca&nbsp;e&nbsp;a&nbsp;bandeja&nbsp;pode&nbsp;aquecer&nbsp;mais&nbsp;que&nbsp;o&nbsp;habitual.&nbsp;Isso&nbsp;não&nbsp;afeta&nbsp;o&nbsp;aparelho&nbsp;nem&nbsp;o&nbsp;resultado&nbsp;final.</p><p>2-A&nbsp;fumaça&nbsp;branca&nbsp;é&nbsp;causada&nbsp;pelo&nbsp;aquecimento&nbsp;de&nbsp;gordura&nbsp;existente&nbsp;na&nbsp;bandeja.&nbsp;Certifique-se&nbsp;de&nbsp;limpar&nbsp;a&nbsp;bandeja&nbsp;corretamente&nbsp;após&nbsp;cada&nbsp;uso</p>",pt,1,2,SDA,"33",Midea,1,,html;mjapp,pt,BR
446,1868,,Product FAQ,"896e6013816045fba3a5bf3e2928fb2d",As fritas não estão crocantes quando retiradas da fritadeira,<p>CAUSA&nbsp;PROVÁVEL</p><p>A&nbsp;crocância&nbsp;das&nbsp;batatas&nbsp;fritas&nbsp;depende&nbsp;da&nbsp;quantidade&nbsp;de&nbsp;óleo&nbsp;e&nbsp;da&nbsp;água&nbsp;presente&nbsp;nas&nbsp;batatas</p><p>VERIFICAÇÃO/SOLUÇÃO</p><p>1-Certifique-se&nbsp;de&nbsp;secar&nbsp;adequadamente&nbsp;os&nbsp;palitos&nbsp;de&nbsp;batata&nbsp;antes&nbsp;de&nbsp;adicionar&nbsp;o&nbsp;óleo.</p><p>2-Corte&nbsp;as&nbsp;batatas&nbsp;em&nbsp;palitos&nbsp;menores&nbsp;para&nbsp;um&nbsp;resultado&nbsp;mais&nbsp;crocante.</p><p>3-Acrescente&nbsp;um&nbsp;pouco&nbsp;mais&nbsp;de&nbsp;óleo&nbsp;para&nbsp;um&nbsp;resultado&nbsp;mais&nbsp;crocante.</p>,pt,1,2,SDA,"33",Midea,1,,html;mjapp,pt,BR
447,1869,,Product FAQ,a007cb39e50d4edd92562bbc0931e02f,Lanches fritos não estão crocantes quando saem da fritadeira,<p>CAUSA&nbsp;PROVÁVEL</p><p>Tipo&nbsp;de&nbsp;lanche&nbsp;indicado&nbsp;para&nbsp;preparo&nbsp;em&nbsp;uma&nbsp;fritadeira&nbsp;de&nbsp;imersão&nbsp;tradicional</p><p>VERIFICAÇÃO/SOLUÇÃO</p><p>Use&nbsp;lanches&nbsp;de&nbsp;forno&nbsp;ou&nbsp;acrescente&nbsp;um&nbsp;pouco&nbsp;de&nbsp;óleo&nbsp;(1/2&nbsp;colher&nbsp;de&nbsp;sopa)&nbsp;nos&nbsp;lanches&nbsp;para&nbsp;um&nbsp;resultado&nbsp;crocante</p>,pt,1,2,SDA,"33",Midea,1,,html;mjapp,pt,BR
448,1870,,Product FAQ,c98d1f09b2a1448c88391f86606145d6,Os ingredientes são fritos de forma irregular na fritadeira,<p>CAUSA&nbsp;PROVÁVEL</p><p>Certos&nbsp;tipos&nbsp;de&nbsp;ingredientes&nbsp;precisam&nbsp;ser&nbsp;agitados&nbsp;durante&nbsp;o&nbsp;tempo&nbsp;de&nbsp;preparo</p><p>VERIFICAÇÃO/SOLUÇÃO</p><p>Ingredientes&nbsp;situados&nbsp;na&nbsp;parte&nbsp;superior&nbsp;ou&nbsp;atravessados&nbsp;(como&nbsp;por&nbsp;exemplo&nbsp;fritas)precisam&nbsp;ser&nbsp;agitados&nbsp;durante&nbsp;o&nbsp;preparo.</p>,pt,1,2,SDA,"33",Midea,1,,html;mjapp,pt,BR
449,1871,,Product FAQ,"60f124958ff340c9958bdbb3b61176d9",Os ingredientes fritos com a fritadeira não estão prontos,<p>CAUSA&nbsp;PROVÁVEL</p><p>1-A&nbsp;quantidade&nbsp;de&nbsp;ingredientes&nbsp;no&nbsp;cesto&nbsp;é&nbsp;muito&nbsp;grande</p><p>2-A&nbsp;temperatura&nbsp;defi&nbsp;nida&nbsp;é&nbsp;muito&nbsp;baixa</p><p>3-O&nbsp;tempo&nbsp;de&nbsp;preparo&nbsp;é&nbsp;muito&nbsp;curto</p><p>VERIFICAÇÃO/SOLUÇÃO</p><p>1-Coloque&nbsp;porções&nbsp;menores&nbsp;de&nbsp;ingredientes&nbsp;no&nbsp;cesto.&nbsp;Pequenas&nbsp;porções&nbsp;são&nbsp;fritas&nbsp;mais&nbsp;uniformemente.</p><p>2-Aumente&nbsp;a&nbsp;temperatura&nbsp;para&nbsp;a&nbsp;configuração&nbsp;requerida.</p><p>3-Aumente&nbsp;o&nbsp;tempo&nbsp;para&nbsp;o&nbsp;de&nbsp;cozimento.</p>,pt,1,2,SDA,"33",Midea,1,,html;mjapp,pt,BR
450,1872,,Product FAQ,d43e41b61a234169ad60bf6ac674464e,A fritadeira não funciona,<p>CAUSA&nbsp;PROVÁVEL<br></p><p>1-O&nbsp;aparelho&nbsp;não&nbsp;está<br>&nbsp;conectado<br></p><p>2-A&nbsp;bandeja&nbsp;não&nbsp;foi&nbsp;colocada&nbsp;corretamente&nbsp;dentro&nbsp;do&nbsp;aparelho</p><p>VERIFICAÇÃO/SOLUÇÃO</p><p>1-Ligue&nbsp;o&nbsp;plugue&nbsp;de&nbsp;energia&nbsp;em&nbsp;uma&nbsp;tomada&nbsp;corretamente&nbsp;aterrada</p><p>2-Retire&nbsp;totalmente&nbsp;a&nbsp;bandeja&nbsp;do&nbsp;aparelho&nbsp;e&nbsp;a&nbsp;coloque&nbsp;novamente.&nbsp;Empurre&nbsp;o&nbsp;cesto&nbsp;para&nbsp;baixo&nbsp;na&nbsp;bandeja&nbsp;até&nbsp;ouvir&nbsp;um&nbsp;clique.</p><p><br></p><p><br></p>,pt,1,2,SDA,"33",Midea,1,,html;mjapp,pt,BR
451,1873,APP FAQ,Connection,"6bdf8c527f0e437da0e07e7c801a9d3b",How to find the QR code?,"<p>The location of the QR code may differ from different devices. Please scan the QR code marked ""Smart Product"" to add smart products</p><p>Some products which had released for a long time may have different QR code styles, please refer to the manual to confirm the location of the QR code.</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/9f16a106280843fb9c85578a37947904.png"" alt="""" data-href="""" style=""""/></p>",en,1,2,,,,,,html;mjapp,en,ALL
451,1874,APP FAQ,Connection,f8c8ae0c71374c8cb8b1a83b6fe8653d,如何找到添加设备的二维码,"<p>不同机器的添加设备二维码位置可能不同，请扫描带“智能产品”标识的二维码用来添加智能产品。</p><p>有些发布时间比较长的产品可能二维码样式有所不同，请参考说明书确认二维码位置。</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/7d568dfa32d34e12b96b36f60c18cbbd.png"" alt="""" data-href="""" style=""""/></p><p><br></p>",zh-CN,1,2,,,,,,html;mjapp,zh-CN,ALL
451,1875,APP FAQ,Connection,a52d5bf089984c039a8ae8ee5587b41b,如何找到添加設備的二維碼,"<p>&nbsp;不同機器的添加設備二維碼位置可能不同，請掃描帶有“智能產品”標誌的二維碼用來添加智能產品。</p><p>部份發佈時間較早的產品，其二維碼樣式可能有所不同，請參考產品說明書確認二維碼位置。</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/7d568dfa32d34e12b96b36f60c18cbbd.png"" alt="""" data-href="""" style=""""/></p><p><br></p>",zh-HK,1,2,,,,,,html;mjapp,zh-HK,ALL
451,1876,APP FAQ,Connection,a52359b66d1540038d6de9e6d36cef51,Cómo encontrar el código QR,"<p>La&nbsp;ubicación&nbsp;del&nbsp;código&nbsp;QR&nbsp;puede&nbsp;variar&nbsp;de&nbsp;diferentes&nbsp;dispositivos.&nbsp;Escanee&nbsp;el&nbsp;código&nbsp;QR&nbsp;marcado&nbsp;con&nbsp;""Productos&nbsp;Inteligentes""&nbsp;para&nbsp;agregar&nbsp;productos&nbsp;inteligentes.</p><p>Algunos&nbsp;productos&nbsp;que&nbsp;se&nbsp;han&nbsp;lanzado&nbsp;durante&nbsp;mucho&nbsp;tiempo&nbsp;pueden&nbsp;tener&nbsp;diferentes&nbsp;estilos&nbsp;de&nbsp;códigos&nbsp;QR;&nbsp;consulte&nbsp;el&nbsp;manual&nbsp;para&nbsp;confirmar&nbsp;la&nbsp;ubicación&nbsp;del&nbsp;código&nbsp;QR.</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/9c7ad7911d0645ec875a6c4759323420.png"" alt="""" data-href="""" style=""""/></p><p><br></p>",es,1,2,,,,,,html;mjapp,es,ALL
451,1877,APP FAQ,Connection,e4c6dea7bcfb488eab6689ffe53fd0fe,Comment trouver le code QR,"<p>L'emplacement&nbsp;du&nbsp;code&nbsp;QR&nbsp;peut&nbsp;varier&nbsp;selon&nbsp;les&nbsp;appareils.&nbsp;Veuillez&nbsp;scanner&nbsp;le&nbsp;code&nbsp;QR&nbsp;marqué&nbsp;«&nbsp;Smart&nbsp;Product&nbsp;»&nbsp;pour&nbsp;ajouter&nbsp;des&nbsp;produits&nbsp;intelligents.</p><p>Certains&nbsp;produits&nbsp;commercialisés&nbsp;depuis&nbsp;longtemps&nbsp;peuvent&nbsp;avoir&nbsp;des&nbsp;styles&nbsp;de&nbsp;code&nbsp;QR&nbsp;différents,&nbsp;veuillez-vous&nbsp;reporter&nbsp;au&nbsp;manuel&nbsp;pour&nbsp;confirmer&nbsp;l'emplacement&nbsp;du&nbsp;code&nbsp;QR.</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/7d568dfa32d34e12b96b36f60c18cbbd.png"" alt="""" data-href="""" style=""""/></p><p><br></p>",fr,1,2,,,,,,html;mjapp,fr,ALL
451,1878,APP FAQ,Connection,"25dfb7171fd54471ab5fba108158d3a6",Hoe de QR-code te vinden,"<p>De&nbsp;positie&nbsp;van&nbsp;de&nbsp;QR-code&nbsp;kan&nbsp;per&nbsp;apparaat&nbsp;verschillen.&nbsp;Scan&nbsp;de&nbsp;QR-code&nbsp;gemarkeerd&nbsp;met&nbsp;""Smart&nbsp;Product""&nbsp;om&nbsp;slimme&nbsp;producten&nbsp;toe&nbsp;te&nbsp;voegen.</p><p>Sommige&nbsp;producten&nbsp;die&nbsp;lange&nbsp;tijd&nbsp;zijn&nbsp;uitgebracht,&nbsp;kunnen&nbsp;verschillende&nbsp;QR-codestijlen&nbsp;hebben.&nbsp;Raadpleeg&nbsp;de&nbsp;gebruikershandleiding&nbsp;om&nbsp;de&nbsp;positie&nbsp;van&nbsp;de&nbsp;QR-code&nbsp;te&nbsp;bevestigen.</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/7d568dfa32d34e12b96b36f60c18cbbd.png"" alt="""" data-href="""" style=""""/></p><p><br></p>",nl,1,2,,,,,,html;mjapp,nl,ALL
451,1879,APP FAQ,Connection,"1becd653a4ca44dcb49281bc87398e78",Como encontrar o código QR do dispositivo a adicionar？,"<p>A&nbsp;localização&nbsp;do&nbsp;código&nbsp;QR&nbsp;pode&nbsp;ser&nbsp;diferente&nbsp;em&nbsp;diferentes&nbsp;dispositivos.&nbsp;Escaneie&nbsp;o&nbsp;código&nbsp;QR&nbsp;marcado&nbsp;com&nbsp;""Produto&nbsp;inteligente""&nbsp;para&nbsp;adicionar&nbsp;produtos&nbsp;inteligentes.</p><p>Alguns&nbsp;produtos&nbsp;que&nbsp;foram&nbsp;lançados&nbsp;por&nbsp;muito&nbsp;tempo&nbsp;podem&nbsp;ter&nbsp;estilos&nbsp;de&nbsp;código&nbsp;QR&nbsp;diferentes,&nbsp;consulte&nbsp;o&nbsp;manual&nbsp;para&nbsp;confirmar&nbsp;a&nbsp;localização&nbsp;do&nbsp;código&nbsp;QR.</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/96a50d7070224e38b81d70af66b7d15d.png"" alt="""" data-href="""" style=""""/></p>",pt,1,2,,,,,,html;mjapp,pt,ALL
451,1880,APP FAQ,Connection,"505b62c347804778b65433c9c1bea346",วิธีค้นหา QR โค้ด,"<p>ตำแหน่งของ&nbsp;QR&nbsp;โค้ดอาจแตกต่างไปตามอุปกรณ์ต่างๆ&nbsp;โปรดสแกนQR&nbsp;โค้ดที่ระบุว่า&nbsp;""Smart&nbsp;Product""&nbsp;เพื่อเพิ่มรายการผลิตภัณฑ์อัจฉริยะ</p><p>ผลิตภัณฑ์บางรายการที่เปิดตัวมาเป็นเวลานานอาจมีรูปแบบQR&nbsp;โค้ดที่แตกต่างกัน&nbsp;โปรดดูคู่มือเพื่อยืนยันตำแหน่งของ&nbsp;QR&nbsp;โค้ด</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/c1c949efb1ff4d8995ca388428b42ac1.png"" alt="""" data-href="""" style=""""/></p><p><br></p>",th,1,2,,,,,,html;mjapp,th,ALL
451,1881,APP FAQ,Connection,"585ec911b06e4079ad998cc34c6696b1",Cách tìm mã QR,"<p>Vị&nbsp;trí&nbsp;của&nbsp;mã&nbsp;QR&nbsp;sẽ&nbsp;khác&nbsp;nhau&nbsp;tuỳ&nbsp;vào&nbsp;từng&nbsp;thiết&nbsp;bị.&nbsp;Vui&nbsp;lòng&nbsp;quét&nbsp;mã&nbsp;QR&nbsp;có&nbsp;đánh&nbsp;dấu&nbsp;là&nbsp;""Sản&nbsp;phẩm&nbsp;thông&nbsp;minh""&nbsp;để&nbsp;kết&nbsp;nối&nbsp;sản&nbsp;phẩm&nbsp;vào&nbsp;ứng&nbsp;dụng.</p><p>Do&nbsp;một&nbsp;vài&nbsp;sản&nbsp;phẩm&nbsp;được&nbsp;thương&nbsp;mại&nbsp;trong&nbsp;một&nbsp;thời&nbsp;gian&nbsp;dài&nbsp;nên&nbsp;có&nbsp;thể&nbsp;sẽ&nbsp;có&nbsp;nhiều&nbsp;kiểu&nbsp;mã&nbsp;QR&nbsp;khác&nbsp;nhau,&nbsp;vui&nbsp;lòng&nbsp;tham&nbsp;khảo&nbsp;hướng&nbsp;dẫn&nbsp;sử&nbsp;dụng&nbsp;để&nbsp;tìm&nbsp;vị&nbsp;trí&nbsp;chính&nbsp;xác&nbsp;của&nbsp;mã&nbsp;QR.</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/108ee7e277b84e6fb3461917143999c0.png"" alt="""" data-href="""" style=""""/></p><p><br></p>",vi,1,2,,,,,,html;mjapp,vi,ALL
451,1882,APP FAQ,Connection,fa60efa367b8424b9b720fe8e317eaf7,Wo ist der QR-Code?,"<p>Die&nbsp;Position&nbsp;des&nbsp;QR-Codes&nbsp;kann&nbsp;von&nbsp;Gerät&nbsp;zu&nbsp;Gerät&nbsp;variieren.&nbsp;Bitte&nbsp;scannen&nbsp;Sie&nbsp;den&nbsp;QR-Code&nbsp;mit&nbsp;der&nbsp;Bezeichnung&nbsp;""Intelligentes&nbsp;Produkt"",&nbsp;um&nbsp;intelligente&nbsp;Produkte&nbsp;hinzuzufügen.</p><p>Einige&nbsp;Produkte,&nbsp;die&nbsp;bereits&nbsp;seit&nbsp;längerer&nbsp;Zeit&nbsp;auf&nbsp;dem&nbsp;Markt&nbsp;sind,&nbsp;haben&nbsp;vielleicht&nbsp;unterschiedlichen&nbsp;Typ&nbsp;von&nbsp;QR-Code.&nbsp;Bitte&nbsp;bestätigen&nbsp;Sie&nbsp;die&nbsp;Position&nbsp;des&nbsp;QR-Codes&nbsp;gemäß&nbsp;dem&nbsp;Handbuch.</p><p><img src=""https://s3.us-west-2.amazonaws.com/midea-idcp/idcp/2023/8/17/48414c8e75e140abae35a5e97e33b13d.png"" alt="""" data-href="""" style=""""/></p><p><br></p>",de,1,2,,,,,,html;mjapp,de,ALL
